"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-01-08",-290354,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-01-15",-299593,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-01-22",-175529,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-01-29",-182834,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-02-05",-204560,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-02-12",-230894,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-02-19",-178599,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-02-26",-185125,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-03-05",-220220,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-03-12",-203008,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-03-19",-219673,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-03-26",-165750,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-04-02",-39916,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-04-09",-53575,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-04-16",-62911,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-04-23",-46822,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-04-30",-106876,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-05-07",-132761,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-05-14",-137903,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-05-21",-168676,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-05-28",-111437,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-06-04",-164084,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-06-11",-61730,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-06-18",-39873,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-06-25",-41843,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-07-02",-86931,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-07-09",-94042,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-07-16",-100588,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-07-23",-98795,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-07-30",-115941,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-08-06",-131314,"5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
